tax_year,geo,dividend_type,gross_up_rate,dtc_pct_of_grossed_up,dtc_pct_of_actual
2014,CA,eligible,0.38,0.150198,0.2073
2014,CA,non_eligible,0.18,0.110169,0.13
2015,CA,eligible,0.38,0.150198,0.2073
2015,CA,non_eligible,0.18,0.110169,0.13
2016,CA,eligible,0.38,0.150198,0.2073
2016,CA,non_eligible,0.17,0.105217,0.1231
2017,CA,eligible,0.38,0.150198,0.2073
2017,CA,non_eligible,0.17,0.105217,0.1231
2018,CA,eligible,0.38,0.150198,0.2073
2018,CA,non_eligible,0.16,0.100313,0.1164
2019,CA,eligible,0.38,0.150198,0.2073
2019,CA,non_eligible,0.15,0.090301,0.1038
2020,CA,eligible,0.38,0.150198,0.2073
2020,CA,non_eligible,0.15,0.090301,0.1038
2021,CA,eligible,0.38,0.150198,0.2073
2021,CA,non_eligible,0.15,0.090301,0.1038
2022,CA,eligible,0.38,0.150198,0.2073
2022,CA,non_eligible,0.15,0.090301,0.1038
2023,CA,eligible,0.38,0.150198,0.2073
2023,CA,non_eligible,0.15,0.090301,0.1038
2024,CA,eligible,0.38,0.150198,0.2073
2024,CA,non_eligible,0.15,0.090301,0.1038
2025,CA,eligible,0.38,0.150198,0.2073
2025,CA,non_eligible,0.15,0.090301,0.1038
2026,CA,eligible,0.38,0.150198,0.2073
2026,CA,non_eligible,0.15,0.090301,0.1038
2027,CA,eligible,0.38,0.150198,0.2073
2027,CA,non_eligible,0.15,0.090301,0.1038
2028,CA,eligible,0.38,0.150198,0.2073
2028,CA,non_eligible,0.15,0.090301,0.1038
2029,CA,eligible,0.38,0.150198,0.2073
2029,CA,non_eligible,0.15,0.090301,0.1038
2030,CA,eligible,0.38,0.150198,0.2073
2030,CA,non_eligible,0.15,0.090301,0.1038
2014,BC,eligible,0.38,0.1,0.138
2014,BC,non_eligible,0.18,0.0259,0.0306
2015,BC,eligible,0.38,0.1,0.138
2015,BC,non_eligible,0.18,0.0259,0.0306
2016,BC,eligible,0.38,0.1,0.138
2016,BC,non_eligible,0.17,0.0247,0.0289
2017,BC,eligible,0.38,0.1,0.138
2017,BC,non_eligible,0.17,0.0218,0.0255
2018,BC,eligible,0.38,0.1,0.138
2018,BC,non_eligible,0.16,0.0207,0.024
2019,BC,eligible,0.38,0.12,0.1656
2019,BC,non_eligible,0.15,0.0196,0.0225
2020,BC,eligible,0.38,0.12,0.1656
2020,BC,non_eligible,0.15,0.0196,0.0225
2021,BC,eligible,0.38,0.12,0.1656
2021,BC,non_eligible,0.15,0.0196,0.0225
2022,BC,eligible,0.38,0.12,0.1656
2022,BC,non_eligible,0.15,0.0196,0.0225
2023,BC,eligible,0.38,0.12,0.1656
2023,BC,non_eligible,0.15,0.0196,0.0225
2024,BC,eligible,0.38,0.12,0.1656
2024,BC,non_eligible,0.15,0.0196,0.0225
2025,BC,eligible,0.38,0.12,0.1656
2025,BC,non_eligible,0.15,0.0196,0.0225
2026,BC,eligible,0.38,0.12,0.1656
2026,BC,non_eligible,0.15,0.0196,0.0225
2027,BC,eligible,0.38,0.12,0.1656
2027,BC,non_eligible,0.15,0.0196,0.0225
2028,BC,eligible,0.38,0.12,0.1656
2028,BC,non_eligible,0.15,0.0196,0.0225
2029,BC,eligible,0.38,0.12,0.1656
2029,BC,non_eligible,0.15,0.0196,0.0225
2030,BC,eligible,0.38,0.12,0.1656
2030,BC,non_eligible,0.15,0.0196,0.0225
