tax_year,geo,dividend_type,gross_up_rate,dtc_pct_of_grossed_up,dtc_pct_of_actual
2014,AB,eligible,0.38,0.1,0.138
2014,AB,non_eligible,0.18,0.031,0.03658
2015,AB,eligible,0.38,0.1,0.138
2015,AB,non_eligible,0.18,0.031,0.03658
2016,AB,eligible,0.38,0.1,0.138
2016,AB,non_eligible,0.17,0.0308,0.036036
2017,AB,eligible,0.38,0.1,0.138
2017,AB,non_eligible,0.17,0.0219,0.025623
2018,AB,eligible,0.38,0.1,0.138
2018,AB,non_eligible,0.16,0.0216,0.025056
2019,AB,eligible,0.38,0.1,0.138
2019,AB,non_eligible,0.15,0.0218,0.02507
2020,AB,eligible,0.38,0.1,0.138
2020,AB,non_eligible,0.15,0.0218,0.02507
2021,AB,eligible,0.38,0.0812,0.112056
2021,AB,non_eligible,0.15,0.0218,0.02507
2022,AB,eligible,0.38,0.0812,0.112056
2022,AB,non_eligible,0.15,0.0218,0.02507
2023,AB,eligible,0.38,0.0812,0.112056
2023,AB,non_eligible,0.15,0.0218,0.02507
2024,AB,eligible,0.38,0.0812,0.112056
2024,AB,non_eligible,0.15,0.0218,0.02507
2025,AB,eligible,0.38,0.0812,0.112056
2025,AB,non_eligible,0.15,0.0218,0.02507
2026,AB,eligible,0.38,0.0812,0.112056
2026,AB,non_eligible,0.15,0.0218,0.02507
2027,AB,eligible,0.38,0.0812,0.112056
2027,AB,non_eligible,0.15,0.0218,0.02507
2028,AB,eligible,0.38,0.0812,0.112056
2028,AB,non_eligible,0.15,0.0218,0.02507
2029,AB,eligible,0.38,0.0812,0.112056
2029,AB,non_eligible,0.15,0.0218,0.02507
2030,AB,eligible,0.38,0.0812,0.112056
2030,AB,non_eligible,0.15,0.0218,0.02507
2014,BC,eligible,0.38,0.1,0.138
2014,BC,non_eligible,0.18,0.0259,0.0306
2015,BC,eligible,0.38,0.1,0.138
2015,BC,non_eligible,0.18,0.0259,0.0306
2016,BC,eligible,0.38,0.1,0.138
2016,BC,non_eligible,0.17,0.0247,0.0289
2017,BC,eligible,0.38,0.1,0.138
2017,BC,non_eligible,0.17,0.0218,0.0255
2018,BC,eligible,0.38,0.1,0.138
2018,BC,non_eligible,0.16,0.0207,0.024
2019,BC,eligible,0.38,0.12,0.1656
2019,BC,non_eligible,0.15,0.0196,0.0225
2020,BC,eligible,0.38,0.12,0.1656
2020,BC,non_eligible,0.15,0.0196,0.0225
2021,BC,eligible,0.38,0.12,0.1656
2021,BC,non_eligible,0.15,0.0196,0.0225
2022,BC,eligible,0.38,0.12,0.1656
2022,BC,non_eligible,0.15,0.0196,0.0225
2023,BC,eligible,0.38,0.12,0.1656
2023,BC,non_eligible,0.15,0.0196,0.0225
2024,BC,eligible,0.38,0.12,0.1656
2024,BC,non_eligible,0.15,0.0196,0.0225
