tax_year,geo,credit,amount,top,rate,clawback,clawback_rate,index
2014,BC,Personal Amount,9869.0,,0.0506,,,1
2014,BC,Age Amount,4426.0,62450.0,0.0506,32943.0,0.15,1
2014,BC,Spousal Amount,8450.0,9295.0,0.0506,845.0,,1
2014,BC,Equivalent To Spouse Amount,8450.0,9295.0,0.0506,,,1
2014,BC,Medical Expense Amount,,,0.0506,,,1
2014,BC,CPP Amount,,,0.0506,,,1
2014,BC,EI Amount,,,0.0506,,,1
2014,BC,Pension Income Amount,1000.0,,0.0506,,,0
2015,BC,Personal Amount,9938.0,,0.0506,,,1
2015,BC,Age Amount,4457.0,62887.0,0.0506,33174.0,0.15,1
2015,BC,Spousal Amount,8509.0,9360.0,0.0506,851.0,,1
2015,BC,Equivalent To Spouse Amount,8509.0,9360.0,0.0506,,,1
2015,BC,Disability Amount,7454.0,,0.0506,,,1
2015,BC,Disability Amount (Child),4348.0,,0.0506,,,1
2015,BC,Adoption Amount,15255.0,,0.0506,,,1
2015,BC,Medical Expense Amount,,,0.0506,,,1
2015,BC,CPP Amount,,,0.0506,,,1
2015,BC,EI Amount,,,0.0506,,,1
2015,BC,Pension Income Amount,1000.0,,0.0506,,,0
2016,BC,Personal Amount,10027.0,,0.0506,,,1
2016,BC,Age Amount,4497.0,63453.0,0.0506,33473.0,0.15,1
2016,BC,Spousal Amount,8586.0,9445.0,0.0506,859.0,,1
2016,BC,Equivalent To Spouse Amount,8586.0,9445.0,0.0506,,,1
2016,BC,Disability Amount,7521.0,,0.0506,,,1
2016,BC,Disability Amount (Child),4388.0,,0.0506,,,1
2016,BC,Adoption Amount,15453.0,,0.0506,,,1
2016,BC,Volunteer Firefighter Amount,3000.0,,0.0506,,,0
2016,BC,Medical Expense Amount,,,0.0506,,,1
2016,BC,CPP Amount,,,0.0506,,,1
2016,BC,EI Amount,,,0.0506,,,1
2016,BC,Pension Income Amount,1000.0,,0.0506,,,0
2017,BC,Personal Amount,10208.0,,0.0506,,,1
2017,BC,Age Amount,4578.0,64595.0,0.0506,34075.0,0.15,1
2017,BC,Spousal Amount,8740.0,9614.0,0.0506,874.0,,1
2017,BC,Equivalent To Spouse Amount,8740.0,9614.0,0.0506,,,1
2017,BC,Disability Amount,7656.0,,0.0506,,,1
2017,BC,Disability Amount (Child),4467.0,,0.0506,,,1
2017,BC,Adoption Amount,15670.0,,0.0506,,,1
2017,BC,Volunteer Firefighter Amount,3000.0,,0.0506,,,0
2017,BC,Medical Expense Amount,,,0.0506,,,1
2017,BC,CPP Amount,,,0.0506,,,1
2017,BC,EI Amount,,,0.0506,,,1
2017,BC,Pension Income Amount,1000.0,,0.0506,,,0
2018,BC,Personal Amount,10412.0,,0.0506,,,1
2018,BC,Age Amount,4669.0,65884.0,0.0506,34757.0,0.15,1
2018,BC,Spousal Amount,8915.0,9807.0,0.0506,892.0,,1
2018,BC,Equivalent To Spouse Amount,8915.0,9807.0,0.0506,,,1
2018,BC,B.C. Caregiver Amount,4556.0,,0.0506,,,1
2018,BC,Disability Amount,7809.0,,0.0506,,,1
2018,BC,Disability Amount (Child),4556.0,,0.0506,,,1
2018,BC,Adoption Amount,15905.0,,0.0506,,,1
2018,BC,Volunteer Firefighter Amount,3000.0,,0.0506,,,0
2018,BC,Medical Expense Amount,,,0.0506,,,1
2018,BC,CPP Amount,,,0.0506,,,1
2018,BC,EI Amount,,,0.0506,,,1
2018,BC,Pension Income Amount,1000.0,,0.0506,,,0
2019,BC,Personal Amount,10682.0,,0.0506,,,1
2019,BC,Age Amount,4791.0,67600.0,0.0506,35660.0,0.15,1
2019,BC,Spousal Amount,9147.0,10062.0,0.0506,915.0,,1
2019,BC,Equivalent To Spouse Amount,9147.0,10062.0,0.0506,,,1
2019,BC,B.C. Caregiver Amount,4674.0,,0.0506,,,1
