tax_year,geo,credit,amount,top,rate,clawback,clawback_rate,index
2014,AB,Age Amount,4957.0,69945.0,0.1,36898.0,0.15,1
2014,AB,Equivalent To Spouse Amount,17787.0,17787.0,0.1,0.0,,1
2014,AB,Personal Amount,17787.0,,0.1,,,1
2014,AB,Spousal Amount,17787.0,17787.0,0.1,0.0,,1
2015,AB,Age Amount,5076.0,71624.0,0.1,37784.0,0.15,1
2015,AB,Equivalent To Spouse Amount,18214.0,18214.0,0.1,0.0,,1
2015,AB,Personal Amount,18214.0,,0.1,,,1
2015,AB,Spousal Amount,18214.0,18214.0,0.1,0.0,,1
2016,AB,Age Amount,5141.0,72548.0,0.1,38275.0,0.15,1
2016,AB,Equivalent To Spouse Amount,18451.0,18451.0,0.1,0.0,,1
2016,AB,Personal Amount,18451.0,,0.1,,,1
2016,AB,Spousal Amount,18451.0,18451.0,0.1,0.0,,1
2017,AB,Age Amount,5208.0,73492.0,0.1,38772.0,0.15,1
2017,AB,Equivalent To Spouse Amount,18690.0,18690.0,0.1,0.0,,1
2017,AB,Personal Amount,18690.0,,0.1,,,1
2017,AB,Spousal Amount,18690.0,18690.0,0.1,0.0,,1
2018,AB,Age Amount,5271.0,74378.0,0.1,39238.0,0.15,1
2018,AB,Equivalent To Spouse Amount,18915.0,18915.0,0.1,0.0,,1
2018,AB,Personal Amount,18915.0,,0.1,,,1
2018,AB,Spousal Amount,18915.0,18915.0,0.1,0.0,,1
2019,AB,Age Amount,5397.0,76159.0,0.1,40179.0,0.15,1
2019,AB,Equivalent To Spouse Amount,19369.0,19369.0,0.1,0.0,,1
2019,AB,Personal Amount,19369.0,,0.1,,,1
2019,AB,Spousal Amount,19369.0,19369.0,0.1,0.0,,1
2020,AB,Age Amount,5397.0,76159.0,0.1,40179.0,0.15,0
2020,AB,Equivalent To Spouse Amount,19369.0,19369.0,0.1,0.0,,0
2020,AB,Personal Amount,19369.0,,0.1,,,0
2020,AB,Spousal Amount,19369.0,19369.0,0.1,0.0,,0
2021,AB,Age Amount,5397.0,76159.0,0.1,40179.0,0.15,0
2021,AB,Equivalent To Spouse Amount,19369.0,19369.0,0.1,0.0,,0
2021,AB,Personal Amount,19369.0,,0.1,,,0
2021,AB,Spousal Amount,19369.0,19369.0,0.1,0.0,,0
2022,AB,Age Amount,5521.0,77911.0,0.1,41104.0,0.15,1
2022,AB,Equivalent To Spouse Amount,19814.0,19814.0,0.1,0.0,,1
2022,AB,Personal Amount,19814.0,,0.1,,,1
2022,AB,Spousal Amount,19814.0,19814.0,0.1,0.0,,1
