tax_year,geo,lower,rate,index
2014,BC,0,0.0506,1
2014,BC,37606,0.077,1
2014,BC,75213,0.105,1
2014,BC,86354,0.1229,1
2014,BC,104858,0.147,1
2014,BC,150000,0.168,1
2015,BC,0,0.0506,1
2015,BC,37869,0.077,1
2015,BC,75740,0.105,1
2015,BC,86958,0.1229,1
2015,BC,105592,0.147,1
2015,BC,151050,0.168,1
2016,BC,0,0.0506,1
2016,BC,38210,0.077,1
2016,BC,76421,0.105,1
2016,BC,87741,0.1229,1
2016,BC,106543,0.147,1
2014,CA,,,
2014,CA,,,
2014,CA,,,
2014,CA,,,
2014,CA,,,
2014,CA,,,
2015,CA,,,
2015,CA,,,
2015,CA,,,
2015,CA,,,
2015,CA,,,
2015,CA,,,
2016,CA,,,
2016,CA,,,
2016,CA,,,
2016,CA,,,
2016,CA,,,
