tax_year,geo,lower,rate,index
2014,AB,0.0,0.1,0.0
2015,AB,0.0,0.1,0.0
2015,AB,125000.0,0.105,0.0
2015,AB,150000.0,0.1075,0.0
2015,AB,200000.0,0.11,0.0
2015,AB,300000.0,0.1125,0.0
2016,AB,0.0,0.1,0.0
2016,AB,125000.0,0.12,0.0
2016,AB,150000.0,0.13,0.0
2016,AB,200000.0,0.14,0.0
2016,AB,300000.0,0.15,0.0
2017,AB,0.0,0.1,1.0
2017,AB,126625.0,0.12,1.0
2017,AB,151950.0,0.13,1.0
2017,AB,202600.0,0.14,1.0
2017,AB,303900.0,0.15,1.0
2018,AB,0.0,0.1,1.0
2018,AB,128145.0,0.12,1.0
2018,AB,153773.0,0.13,1.0
2018,AB,205031.0,0.14,1.0
2018,AB,307547.0,0.15,1.0
2019,AB,0.0,0.1,1.0
2019,AB,131220.0,0.12,1.0
2019,AB,157464.0,0.13,1.0
2019,AB,209952.0,0.14,1.0
2019,AB,314928.0,0.15,1.0
2020,AB,0.0,0.1,0.0
2020,AB,131220.0,0.12,0.0
2020,AB,157464.0,0.13,0.0
2020,AB,209952.0,0.14,0.0
2020,AB,314928.0,0.15,0.0
2021,AB,0.0,0.1,0.0
2021,AB,131220.0,0.12,0.0
2021,AB,157464.0,0.13,0.0
2021,AB,209952.0,0.14,0.0
2021,AB,314928.0,0.15,0.0
2022,AB,0.0,0.1,1.0
2022,AB,134238.0,0.12,1.0
2022,AB,161086.0,0.13,1.0
2022,AB,214781.0,0.14,1.0
2022,AB,322171.0,0.15,1.0
2023,AB,0.0,0.1,1.0
2023,AB,142292.0,0.12,1.0
2023,AB,170751.0,0.13,1.0
2023,AB,227668.0,0.14,1.0
2023,AB,341502.0,0.15,1.0
2024,AB,0.0,0.1,1.0
2024,AB,148269.0,0.12,1.0
2024,AB,177922.0,0.13,1.0
2024,AB,237230.0,0.14,1.0
2024,AB,355845.0,0.15,1.0
2025,AB,0.0,0.08,1.0
2025,AB,60000.0,0.1,1.0
2025,AB,151234.0,0.12,1.0
2025,AB,181481.0,0.13,1.0
2025,AB,241974.0,0.14,1.0
2025,AB,362961.0,0.15,1.0
2026,AB,0.0,0.08,1.0
2026,AB,61200.0,0.1,1.0
2026,AB,154259.0,0.12,1.0
2026,AB,185111.0,0.13,1.0
2026,AB,246813.0,0.14,1.0
2026,AB,370220.0,0.15,1.0
2027,AB,0.0,0.08,0.0
2027,AB,62697.0,0.1,1.0
2027,AB,158032.0,0.12,1.0
2027,AB,189638.0,0.13,1.0
2027,AB,252849.0,0.14,1.0
2027,AB,379275.0,0.15,1.0
